"","Ring_No","Ringed_date","Ringed_day","Ringed_month","Ringed_year","EurAgeCode","EurAgeText","SEX","First_recov_date","First_recov_year","First_recov_type"
"4","15554","6/20/1976",20,6,1976,1,"Pullus","0","1976-10-15",1976,3
"29","15661","6/15/1985",15,6,1985,1,"Pullus","0","1985-11-15",1985,2
"35","15669","6/29/1985",29,6,1985,1,"Pullus","0","1985-11-02",1985,2
"87","15965","7/10/1988",10,7,1988,1,"Pullus","M","1988-11-22",1988,2
"100","15978","6/25/1989",25,6,1989,1,"Pullus","M","1989-07-24",1989,2
"110","15988","6/27/1989",27,6,1989,1,"Pullus","M","1989-12-04",1989,2
"120","15998","6/18/1990",18,6,1990,1,"Pullus","M","1990-08-29",1990,3
"143","17573","6/19/1999",19,6,1999,1,"Pullus","M","1999-08-12",1999,3
"172","17620","6/14/1982",14,6,1982,1,"Pullus","M","1982-11-10",1982,3
"174","17622","6/16/1982",16,6,1982,1,"Pullus","M","1982-10-05",1982,2
"177","17625","6/16/1982",16,6,1982,1,"Pullus","M","1982-08-13",1982,2
"188","17636","7/8/1983",8,7,1983,1,"Pullus","M","1983-09-23",1983,3
"209","17705","6/22/1991",22,6,1991,1,"Pullus","0","1991-10-05",1991,2
"216","17712","6/24/1991",24,6,1991,1,"Pullus","0","1991-08-03",1991,3
"220","17716","6/28/1991",28,6,1991,1,"Pullus","0","1991-08-02",1991,3
"223","17719","6/29/1991",29,6,1991,1,"Pullus","0","1991-08-02",1991,3
"229","17725","6/28/1995",28,6,1995,1,"Pullus","0","1995-09-21",1995,2
"238","17734","7/3/1995",3,7,1995,1,"Pullus","0","1995-10-04",1995,5
"239","17735","7/3/1995",3,7,1995,1,"Pullus","0","1995-08-12",1995,3
"259","17814","6/8/1985",8,6,1985,1,"Pullus","M","1985-10-31",1985,2
"285","17840","6/25/1985",25,6,1985,1,"Pullus","M","1985-07-23",1985,3
"313","17868","6/16/1987",16,6,1987,1,"Pullus","0","1987-07-27",1987,3
"317","17872","6/17/1987",17,6,1987,1,"Pullus","0","1987-07-27",1987,3
"362","17948","6/22/1984",22,6,1984,1,"Pullus","M","1984-07-14",1984,3
"374","17973","6/24/2005",24,6,2005,1,"Pullus","M","2005-07-12",2005,2
"411","18012","6/27/1990",27,6,1990,1,"Pullus","0","1990-08-19",1990,2
"412","18013","6/26/1992",26,6,1992,1,"Pullus","0","1992-08-15",1992,3
"419","18020","6/27/1992",27,6,1992,1,"Pullus","0","1992-09-11",1992,5
"465","110115","7/12/1984",12,7,1984,1,"Pullus","F","1984-10-06",1984,2
"476","110126","6/9/1985",9,6,1985,1,"Pullus","F","1985-07-04",1985,2
"495","110163","6/11/1981",11,6,1981,1,"Pullus","M","1981-08-26",1981,2
"497","110165","6/11/1981",11,6,1981,1,"Pullus","F","1981-08-30",1981,2
"520","110192","6/29/1981",29,6,1981,1,"Pullus","F","1981-10-15",1981,2
"526","112503","6/8/1982",8,6,1982,1,"Pullus","F","1982-09-29",1982,5
"534","112511","6/14/1982",14,6,1982,1,"Pullus","F","1982-07-27",1982,3
"536","112513","6/16/1982",16,6,1982,1,"Pullus","F","1982-10-25",1982,2
"546","112523","6/30/1982",30,6,1982,1,"Pullus","F","1982-07-09",1982,3
"557","112534","7/5/1983",5,7,1983,1,"Pullus","F","1983-08-09",1983,2
"583","112561","6/24/1985",24,6,1985,1,"Pullus","0","1985-07-30",1985,3
"586","112564","6/24/1985",24,6,1985,1,"Pullus","F","1985-10-30",1985,7
"597","112575","6/29/1985",29,6,1985,1,"Pullus","0","1985-07-28",1985,3
"598","112576","6/29/1985",29,6,1985,1,"Pullus","0","1985-07-28",1985,3
"619","112597","6/14/1986",14,6,1986,1,"Pullus","0","1986-11-29",1986,7
"693","113481","7/3/1986",3,7,1986,1,"Pullus","F","1986-12-07",1986,5
"718","113516","6/22/1986",22,6,1986,1,"Pullus","F","1986-12-24",1986,2
"755","113669","6/16/1987",16,6,1987,1,"Pullus","0","1987-07-26",1987,3
"761","113675","6/17/1987",17,6,1987,1,"Pullus","0","1987-07-27",1987,3
"801","113718","7/1/1992",1,7,1992,1,"Pullus","0","1992-08-12",1992,3
"823","114412","6/26/1989",26,6,1989,1,"Pullus","F","1989-07-26",1989,2
"833","114422","6/29/1989",29,6,1989,1,"Pullus","F","1989-08-17",1989,3
"834","114423","6/29/1989",29,6,1989,1,"Pullus","F","1989-08-17",1989,3
"839","114428","6/16/1990",16,6,1990,1,"Pullus","0","1990-09-13",1990,4
"847","114436","6/22/1990",22,6,1990,1,"Pullus","0","1990-08-20",1990,3
"848","114437","6/22/1990",22,6,1990,1,"Pullus","0","1990-09-15",1990,1
"859","114448","6/22/1991",22,6,1991,1,"Pullus","0","1991-07-27",1991,2
"873","114720","6/27/1994",27,6,1994,1,"Pullus","0","1994-08-17",1994,2
"899","114990","7/5/1995",5,7,1995,1,"Pullus","0","1995-10-22",1995,3
"908","115203","6/28/1996",28,6,1996,1,"Pullus","F","1996-10-15",1996,3
"917","115212","6/21/1997",21,6,1997,1,"Pullus","0","1997-12-06",1997,3
"940","115235","6/27/1997",27,6,1997,1,"Pullus","0","1997-10-23",1997,2
"997","117911","6/19/2000",19,6,2000,1,"Pullus","F","2000-12-28",2000,3
"1001","117915","6/20/2000",20,6,2000,1,"Pullus","F","2000-08-07",2000,3
"1014","117928","6/28/2000",28,6,2000,1,"Pullus","0","2000-08-27",2000,7
"1019","117933","6/29/2000",29,6,2000,1,"Pullus","F","2000-08-10",2000,3
"1034","117949","6/23/2002",23,6,2002,1,"Pullus","F","2002-08-21",2002,5
"1066","118975","6/24/1997",24,6,1997,1,"Pullus","0","1997-12-12",1997,2
"1096","119355","6/26/2003",26,6,2003,1,"Pullus","M","2003-08-11",2003,3
"1114","119374","6/19/2004",19,6,2004,1,"Pullus","M","2004-08-22",2004,5
"1148","123508","6/19/2001",19,6,2001,1,"Pullus","M","2001-07-24",2001,3
"1156","123516","6/26/2001",26,6,2001,1,"Pullus","M","2001-12-12",2001,7
"1170","123530","6/26/2002",26,6,2002,1,"Pullus","M","2002-09-10",2002,5
"1197","123960","6/18/2008",18,6,2008,1,"Pullus","M","2008-10-23",2008,7
"1202","123965","6/21/2008",21,6,2008,1,"Pullus","M","2008-08-01",2008,3
"1218","123982","6/21/2009",21,6,2009,1,"Pullus","M","2009-09-25",2009,2
"1226","123990","6/23/2009",23,6,2009,1,"Pullus","M","2009-07-28",2009,3
"1228","123992","6/23/2009",23,6,2009,1,"Pullus","M","2009-10-08",2009,2
"1266","124030","6/22/2011",22,6,2011,1,"Pullus","M","2011-12-24",2011,5
"1269","124033","6/23/2011",23,6,2011,1,"Pullus","0","2011-08-01",2011,3
"1271","124035","6/25/2011",25,6,2011,1,"Pullus","M","2011-08-03",2011,3
"1272","124036","6/25/2011",25,6,2011,1,"Pullus","M","2011-11-01",2011,8
"1274","124038","6/25/2011",25,6,2011,1,"Pullus","M","2011-08-03",2011,3
"1289","124353","6/23/2012",23,6,2012,1,"Pullus","M","2012-10-01",2012,7
"1293","124357","6/25/2012",25,6,2012,1,"Pullus","M","2012-08-17",2012,5
"1295","124359","6/26/2012",26,6,2012,1,"Pullus","M","2012-07-15",2012,3
"1336","132334","6/22/2004",22,6,2004,1,"Pullus","F","2004-09-15",2004,2
"1369","132489","6/20/2006",20,6,2006,1,"Pullus","0","2006-11-24",2006,5
"1393","132717","6/24/2007",24,6,2007,1,"Pullus","F","2007-10-03",2007,5
"1417","132743","6/27/2008",27,6,2008,1,"Pullus","F","2008-08-05",2008,3
"1425","133610","6/23/2010",23,6,2010,1,"Pullus","0","2010-09-02",2010,2
"1468","134311","6/27/2009",27,6,2009,1,"Pullus","0","2009-08-02",2009,3
"1470","134313","6/28/2009",28,6,2009,1,"Pullus","0","2009-11-20",2009,2
"1490","134337","6/18/2010",18,6,2010,1,"Pullus","0","2010-10-08",2010,2
"1491","134338","6/18/2010",18,6,2010,1,"Pullus","0","2010-08-15",2010,3
"1492","134339","6/18/2010",18,6,2010,1,"Pullus","0","2010-08-01",2010,2
"1504","137151","6/19/2011",19,6,2011,1,"Pullus","0","2011-07-30",2011,3
"1505","137152","6/20/2011",20,6,2011,1,"Pullus","F","2011-07-31",2011,3
"1508","137155","6/21/2011",21,6,2011,1,"Pullus","0","2011-07-31",2011,3
"1515","137162","6/25/2011",25,6,2011,1,"Pullus","F","2011-08-03",2011,3
"1548","V_FaRu0008","6/17/2014",17,6,2014,1,"Pullus","F","2014-08-25",2014,3
"1588","V_FaRu0048","6/23/2014",23,6,2014,1,"Pullus","F","2014-07-31",2014,3
"1592","V_FaRu0052","6/24/2014",24,6,2014,1,"Pullus","M","2014-11-11",2014,7
"1601","V_FaRu0061","6/16/2015",16,6,2015,1,"Pullus","F","2015-08-28",2015,4
"1608","V_FaRu0068","6/19/2015",19,6,2015,1,"Pullus","F","2015-08-13",2015,7
"1614","V_FaRu0074","6/20/2015",20,6,2015,1,"Pullus","M","2015-07-29",2015,2
"1660","124373","6/17/2017",17,6,2017,1,"Pullus","M","2017-08-08",2017,7
"1666","137200","6/19/2017",19,6,2017,1,"Pullus","F",NA,2017,5
"1697","124384","6/15/2018",15,6,2018,1,"Pullus","M","2018-04-07",2018,2
"1723","139342","6/20/2018",20,6,2018,1,"Pullus","F",NA,2018,2
"1740","139347","6/22/2018",22,6,2018,1,"Pullus","F","2018-10-08",2018,2
"1750","15710","6/29/2018",29,6,2018,1,"Pullus","M",NA,2018,3
"1778","142970","6/20/2019",20,6,2019,1,"Pullus","F","2019-10-12",2019,2
"1796","V_FARU0118","6/23/2019",23,6,2019,1,"Pullus","0",NA,2019,3
